country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Malaysia,Johor,0,1911485,1911485,1911485,102272,44323,35674,13597,40918,44357,36674,39358,18537,46711,28309,57794,39251,26175,53235,34148,49903,48275,36169,34891,26646,26005,19828
Malaysia,Johor,10,1911485,1625635,1586884,102272,43973,35499,13530,40725,44160,36567,39255,18497,46614,28268,57677,38905,25150,50296,32144,45789,44685,33207,30975,23079,21930,16246
Malaysia,Johor,15,1911485,1614670,1573563,102272,43897,35465,13515,40692,44119,36547,39237,18489,46597,28260,57661,38872,25099,50140,32036,45547,44478,33055,30783,22914,21750,16092
Malaysia,Johor,20,1911485,1606540,1561875,102272,43815,35416,13498,40638,44066,36523,39216,18480,46581,28255,57644,38845,25051,50003,31937,45367,44313,32927,30624,22782,21608,15960
Malaysia,Johor,25,1911485,1601965,1552433,102272,43767,35393,13489,40613,44040,36513,39208,18476,46573,28251,57636,38831,25030,49935,31885,45264,44231,32857,30554,22711,21539,15892
Malaysia,Johor,30,1911485,1593783,1543602,102272,43703,35359,13478,40586,44009,36499,39197,18469,46560,28245,57621,38805,24985,49796,31797,45064,44064,32737,30412,22595,21403,15783
Malaysia,Johor,50,1911485,1551382,1482095,102272,43128,35039,13349,40227,43622,36295,39007,18387,46383,28168,57465,38613,24700,49042,31298,44048,43182,32028,29637,21991,20730,15221
Malaysia,Johor,75,1911485,1391685,1328110,102272,40236,32926,12395,37404,40769,34664,37469,17691,44839,27475,56247,37492,23305,45451,28855,39432,39189,28857,26242,19175,17525,12578
Malaysia,Kedah,0,951787,951787,951787,44640,3811,10087,4519,7259,7734,8267,6110,9966,8346,13113,7762,9265,8125,17542,14438,16312,17849,16522,13924,11505,10208,7960
Malaysia,Kedah,10,951787,693911,659969,44640,3671,9981,4487,7176,7641,8227,6087,9918,8305,13085,7710,8963,7442,15920,13569,15150,16286,14309,12061,9063,7744,5902
Malaysia,Kedah,15,951787,687911,653389,44640,3652,9959,4480,7160,7621,8218,6083,9910,8295,13077,7705,8950,7407,15825,13525,15075,16215,14200,11949,8952,7637,5810
Malaysia,Kedah,20,951787,683626,649573,44640,3623,9921,4466,7129,7591,8205,6076,9898,8286,13069,7701,8937,7379,15757,13473,15009,16146,14102,11855,8860,7546,5731
Malaysia,Kedah,25,951787,681331,643895,44640,3611,9908,4463,7119,7582,8201,6072,9894,8282,13066,7698,8933,7367,15729,13456,14983,16124,14069,11819,8823,7513,5703
Malaysia,Kedah,30,951787,676030,640752,44640,3600,9893,4456,7110,7569,8194,6069,9888,8277,13062,7693,8921,7336,15644,13412,14906,16051,13979,11720,8725,7430,5634
Malaysia,Kedah,50,951787,653738,617848,44640,3439,9626,4367,6922,7408,8102,6008,9804,8188,13006,7656,8847,7182,15283,13204,14584,15728,13596,11289,8295,7048,5303
Malaysia,Kedah,75,951787,581666,554988,44640,2502,7519,3386,5623,6095,6893,5408,8819,7225,12199,7393,8446,6472,13721,12076,13121,14235,11809,9476,6820,5614,4253
Malaysia,Kelantan,0,1513205,1513205,1513205,23028,10852,9245,5633,13945,12647,11473,25263,12802,33267,30717,22899,35474,17130,40487,25632,28322,21163,24056,28088,16407,19278,17569
Malaysia,Kelantan,10,1513205,1361094,1278726,23028,10653,9168,5601,13857,12575,11430,25179,12765,33161,30650,22874,35247,16668,38951,24581,27344,20711,23584,27132,15859,18640,16990
Malaysia,Kelantan,15,1513205,1355454,1271129,23028,10621,9153,5593,13838,12559,11423,25166,12759,33152,30640,22870,35227,16644,38877,24534,27291,20675,23544,27075,15821,18600,16957
Malaysia,Kelantan,20,1513205,1351764,1266493,23028,10594,9140,5586,13826,12543,11415,25150,12755,33136,30630,22866,35211,16624,38819,24495,27252,20649,23522,27036,15796,18568,16932
Malaysia,Kelantan,25,1513205,1349451,1261939,23028,10580,9133,5582,13819,12537,11413,25144,12751,33132,30624,22865,35204,16615,38786,24475,27229,20637,23508,27017,15783,18552,16919
Malaysia,Kelantan,30,1513205,1344075,1257078,23028,10557,9120,5577,13804,12530,11407,25135,12748,33123,30616,22860,35190,16594,38714,24416,27174,20603,23473,26952,15748,18512,16884
Malaysia,Kelantan,50,1513205,1325417,1229250,23028,10398,9017,5527,13690,12426,11348,25003,12698,33002,30519,22825,35087,16491,38393,24196,26944,20474,23330,26731,15604,18344,16762
Malaysia,Kelantan,75,1513205,1256211,1159120,23028,9657,8494,5241,13038,11813,10884,23949,12256,31931,29688,22493,34403,15698,36484,22745,25320,19644,22445,25464,14749,17426,15998
Malaysia,Kuala Lumpur,0,27198,27198,27198,863,39,127,51,192,89,81,59,51,78,80,34,62,5,116,87,126,150,99,49,23,42,22
Malaysia,Kuala Lumpur,10,27198,6860,5199,863,38,122,50,178,85,79,58,50,77,79,34,55,2,61,38,55,112,68,30,12,18,10
Malaysia,Kuala Lumpur,15,27198,5685,4642,863,37,121,49,175,83,78,58,50,77,79,34,54,2,60,35,51,109,65,30,12,17,9
Malaysia,Kuala Lumpur,20,27198,5485,4556,863,37,120,49,173,83,78,57,50,77,78,34,54,2,58,34,49,107,64,30,12,16,8
Malaysia,Kuala Lumpur,25,27198,5109,4403,863,36,119,48,171,82,77,57,49,76,78,34,54,2,57,33,46,106,63,30,12,15,8
Malaysia,Kuala Lumpur,30,27198,4827,4100,863,36,119,48,169,82,77,57,49,76,78,34,53,2,55,31,43,103,62,29,11,15,8
Malaysia,Kuala Lumpur,50,27198,3914,3071,863,30,106,44,144,72,71,52,49,74,74,33,49,1,49,27,32,92,57,26,10,12,6
Malaysia,Kuala Lumpur,75,27198,2446,1492,863,15,61,29,70,41,45,34,43,61,61,28,36,1,25,14,17,52,43,18,6,8,2
Malaysia,Labuan,0,9066,9066,9066,188,25,24,18,11,27,23,42,40,37,27,55,122,21,104,119,194,64,43,36,55,39,54
Malaysia,Labuan,10,9066,4730,4401,188,24,23,18,11,27,22,41,39,37,26,55,120,19,77,87,133,43,31,25,38,31,40
Malaysia,Labuan,15,9066,4599,4289,188,24,23,18,11,27,22,41,39,37,26,55,120,18,75,84,129,40,30,24,37,30,40
Malaysia,Labuan,20,9066,4527,4270,188,24,23,18,11,27,22,41,39,37,26,55,120,18,74,83,126,39,29,23,36,30,39
Malaysia,Labuan,25,9066,4480,4235,188,24,23,18,11,27,22,41,39,37,26,55,120,18,73,82,125,39,29,23,35,30,39
Malaysia,Labuan,30,9066,4323,4163,188,24,23,18,11,27,22,41,39,37,26,55,119,17,71,79,120,37,28,22,33,29,38
Malaysia,Labuan,50,9066,3926,3695,188,24,22,17,11,26,22,40,38,36,25,54,117,16,66,72,103,33,25,18,30,27,35
Malaysia,Labuan,75,9066,3014,2883,188,22,19,15,10,24,19,36,35,32,23,49,106,13,51,54,69,25,19,9,19,19,24
Malaysia,Melaka,0,165403,165403,165403,12986,3669,2870,1286,1277,3846,1810,3389,2023,3314,520,3177,2625,1536,5472,3348,5965,4819,4360,4385,3303,3332,2277
Malaysia,Melaka,10,165403,117339,113366,12986,3631,2841,1278,1271,3829,1805,3377,2017,3305,519,3164,2563,1421,5085,3148,5404,4442,3995,3901,2879,2814,1766
Malaysia,Melaka,15,165403,115661,111868,12986,3620,2834,1276,1270,3824,1804,3374,2016,3303,519,3161,2558,1415,5066,3139,5379,4424,3974,3870,2855,2795,1742
Malaysia,Melaka,20,165403,114475,110563,12986,3608,2823,1273,1268,3816,1803,3370,2014,3300,519,3159,2555,1411,5049,3132,5359,4409,3958,3845,2835,2781,1720
Malaysia,Melaka,25,165403,113794,109490,12986,3602,2819,1273,1267,3814,1803,3368,2012,3299,518,3158,2552,1408,5038,3127,5349,4401,3947,3834,2827,2773,1712
Malaysia,Melaka,30,165403,112675,108610,12986,3593,2814,1272,1267,3810,1802,3366,2012,3297,518,3157,2548,1404,5024,3120,5324,4386,3933,3817,2812,2756,1695
Malaysia,Melaka,50,165403,106873,102385,12986,3529,2756,1254,1252,3765,1789,3338,1993,3269,514,3142,2518,1374,4937,3080,5210,4301,3837,3708,2724,2676,1602
Malaysia,Melaka,75,165403,88815,85393,12986,3101,2381,1095,1135,3394,1654,3120,1831,3047,490,3031,2373,1230,4533,2883,4661,3838,3358,3139,2330,2320,1286
Malaysia,Negeri Sembilan,0,666738,666738,666738,41198,22646,25137,7392,9037,12835,7540,10209,8401,17302,5534,15952,24811,11291,19488,11127,18277,14923,11891,11619,8243,8378,6600
Malaysia,Negeri Sembilan,10,666738,570930,543073,41198,22543,25024,7364,8985,12779,7518,10185,8391,17271,5526,15902,24636,10973,18456,10545,16876,13823,10739,9906,6709,6318,5200
Malaysia,Negeri Sembilan,15,666738,567096,538483,41198,22506,25001,7357,8971,12761,7513,10181,8389,17264,5524,15899,24617,10955,18401,10518,16798,13757,10674,9838,6643,6239,5138
Malaysia,Negeri Sembilan,20,666738,564138,534113,41198,22469,24965,7345,8957,12737,7505,10176,8386,17257,5522,15893,24604,10939,18355,10495,16736,13683,10616,9759,6583,6169,5078
Malaysia,Negeri Sembilan,25,666738,562530,530990,41198,22457,24948,7340,8946,12731,7502,10174,8385,17254,5521,15891,24595,10931,18329,10482,16703,13657,10586,9729,6552,6140,5053
Malaysia,Negeri Sembilan,30,666738,559821,527970,41198,22432,24927,7334,8937,12717,7497,10171,8383,17249,5520,15888,24583,10915,18281,10459,16640,13601,10539,9672,6491,6086,5008
Malaysia,Negeri Sembilan,50,666738,544976,505321,41198,22152,24668,7243,8796,12538,7422,10104,8350,17179,5496,15853,24470,10830,18036,10330,16315,13310,10276,9391,6226,5783,4771
Malaysia,Negeri Sembilan,75,666738,487265,440613,41198,19565,22015,6157,7703,10961,6812,9463,8035,16548,5279,15482,23766,10313,16715,9576,14482,11741,8962,7952,5054,4589,3796
Malaysia,Pahang,0,3585238,3585238,3585238,117174,48490,59024,27208,45679,61792,45113,44128,34159,55498,57082,57940,94404,43719,89904,64791,104378,74406,62748,59680,44640,47469,39086
Malaysia,Pahang,10,3585238,3327704,3244745,117174,47923,58484,27064,45307,61594,45016,44053,34091,55394,57011,57784,93854,42761,87334,63098,100729,72208,60331,57164,41398,44475,34774
Malaysia,Pahang,15,3585238,3316955,3230110,117174,47803,58391,27041,45243,61542,44996,44037,34080,55375,56999,57766,93784,42703,87170,62993,100490,72067,60190,57010,41248,44304,34594
Malaysia,Pahang,20,3585238,3308545,3218619,117174,47669,58258,27005,45153,61484,44973,44018,34068,55357,56987,57750,93727,42651,87004,62906,100306,71963,60062,56886,41123,44151,34431
Malaysia,Pahang,25,3585238,3303635,3209171,117174,47600,58178,26985,45105,61459,44957,44010,34063,55348,56978,57739,93695,42620,86910,62848,100179,71898,59996,56807,41056,44075,34348
Malaysia,Pahang,30,3585238,3295418,3199022,117174,47473,58056,26963,45058,61430,44941,43997,34053,55335,56967,57724,93639,42559,86752,62751,99966,71777,59871,56671,40948,43939,34214
Malaysia,Pahang,50,3585238,3249607,3131034,117174,46503,57120,26699,44547,61010,44720,43837,33918,55135,56810,57572,93187,42191,85776,62189,98686,71069,59141,55916,40328,43230,33553
Malaysia,Pahang,75,3585238,3063046,2947338,117174,41297,52353,23800,41327,57559,43229,42468,32816,53519,55562,56616,90657,40038,80787,58786,91967,67210,55245,52015,37245,38931,30107
Malaysia,Perak,0,2091110,2091110,2091110,67954,16679,21137,9688,14739,19812,12189,20033,16843,29728,27249,21532,25738,18357,35571,25244,36079,33528,25704,25299,18457,22432,16316
Malaysia,Perak,10,2091110,1795110,1776308,67954,16416,20911,9580,14616,19704,12136,19963,16804,29661,27209,21489,25489,17886,34233,24151,33514,30907,23355,22799,16026,19649,13388
Malaysia,Perak,15,2091110,1785066,1763207,67954,16369,20871,9558,14593,19681,12125,19947,16793,29646,27200,21481,25458,17850,34131,24088,33350,30772,23231,22674,15918,19511,13259
Malaysia,Perak,20,2091110,1778841,1758035,67954,16318,20834,9541,14578,19662,12118,19936,16787,29635,27195,21476,25439,17826,34060,24040,33227,30671,23131,22585,15831,19420,13170
Malaysia,Perak,25,2091110,1774699,1751155,67954,16290,20810,9527,14562,19651,12114,19930,16782,29627,27191,21472,25421,17807,34014,24014,33157,30609,23080,22529,15786,19367,13117
Malaysia,Perak,30,2091110,1766056,1743683,67954,16245,20779,9509,14548,19635,12108,19921,16776,29618,27184,21466,25398,17762,33900,23935,32983,30468,22953,22414,15675,19238,13018
Malaysia,Perak,50,2091110,1728918,1698520,67954,15927,20400,9319,14365,19438,12013,19806,16701,29482,27100,21405,25213,17552,33399,23606,32227,29839,22411,21876,15203,18664,12566
Malaysia,Perak,75,2091110,1603872,1580232,67954,14213,18181,8048,13176,18037,11308,18614,15962,28288,26316,20917,24215,16431,30827,22001,29057,26882,19874,19144,13162,16277,10626
Malaysia,Perlis,0,82349,82349,82349,4735,299,195,60,122,245,89,91,118,277,175,401,665,476,845,327,874,631,450,1231,864,287,421
Malaysia,Perlis,10,82349,29311,24721,4735,267,179,57,114,230,81,86,113,252,172,398,639,384,540,268,735,570,405,1163,727,228,197
Malaysia,Perlis,15,82349,28648,23978,4735,264,176,56,113,228,81,85,111,249,171,398,638,380,530,265,729,566,401,1158,721,225,195
Malaysia,Perlis,20,82349,28308,23514,4735,262,174,56,113,225,80,84,110,246,171,397,638,379,523,263,725,563,399,1156,717,223,194
Malaysia,Perlis,25,82349,28044,22859,4735,260,174,55,112,224,80,83,110,244,170,397,638,378,519,262,722,562,398,1156,715,221,193
Malaysia,Perlis,30,82349,27367,22511,4735,258,173,55,112,223,80,83,110,242,170,396,637,373,509,258,715,556,394,1151,704,217,190
Malaysia,Perlis,50,82349,25598,20250,4735,218,146,52,100,203,73,77,102,216,168,393,634,363,475,246,691,540,379,1137,681,204,179
Malaysia,Perlis,75,82349,19860,14962,4735,104,77,36,67,122,53,57,64,132,133,321,561,274,314,169,503,382,275,944,499,132,111
Malaysia,Pulau Pinang,0,105622,105622,105622,2737,136,446,201,428,527,606,339,343,728,953,587,719,422,1028,592,882,782,587,595,558,623,403
Malaysia,Pulau Pinang,10,105622,49792,43594,2737,134,442,197,422,519,601,337,341,722,947,581,684,365,863,511,753,662,475,483,466,503,297
Malaysia,Pulau Pinang,15,105622,48776,42218,2737,134,440,196,420,517,600,336,340,721,946,581,679,362,851,505,744,656,469,477,461,497,291
Malaysia,Pulau Pinang,20,105622,48230,41972,2737,133,439,195,419,516,599,335,339,720,946,580,677,360,845,501,739,652,465,472,458,492,288
Malaysia,Pulau Pinang,25,105622,47774,41502,2737,133,438,195,418,516,598,335,338,719,945,580,676,359,840,499,736,648,463,469,456,489,286
Malaysia,Pulau Pinang,30,105622,46677,40796,2737,133,437,195,417,515,598,335,338,718,945,580,672,355,827,492,726,641,457,463,450,481,280
Malaysia,Pulau Pinang,50,105622,43161,37158,2737,130,426,187,403,502,590,328,331,705,934,574,649,342,780,465,689,610,430,435,428,450,259
Malaysia,Pulau Pinang,75,105622,32935,28750,2737,112,354,152,324,419,537,285,276,622,865,522,557,284,590,361,510,469,333,323,332,345,193
Malaysia,Putrajaya,0,6173,6173,6173,890,63,54,25,54,32,5,31,8,53,44,20,13,8,49,40,86,71,69,72,42,54,28
Malaysia,Putrajaya,10,6173,1720,1691,890,62,50,24,52,32,5,30,7,52,44,20,13,7,26,27,58,48,43,56,25,33,16
Malaysia,Putrajaya,15,6173,1670,1598,890,61,50,24,51,32,5,30,7,52,44,20,13,7,25,27,57,48,42,56,25,32,16
Malaysia,Putrajaya,20,6173,1644,1575,890,61,49,24,51,32,5,30,7,52,44,20,13,7,24,27,56,47,42,56,25,32,15
Malaysia,Putrajaya,25,6173,1618,1536,890,61,49,24,51,32,5,30,7,51,44,20,13,7,24,26,56,47,41,55,25,32,15
Malaysia,Putrajaya,30,6173,1583,1491,890,61,49,24,50,32,5,30,7,51,44,20,13,7,23,26,55,46,40,55,24,31,15
Malaysia,Putrajaya,50,6173,1395,1277,890,53,40,23,47,30,5,30,7,50,43,19,13,6,19,23,50,41,35,50,22,28,14
Malaysia,Putrajaya,75,6173,925,855,890,32,21,16,34,23,4,25,5,38,40,19,11,5,12,17,35,32,19,36,15,19,8
Malaysia,Sabah,0,7372091,7372091,7372091,214875,64055,60397,33325,87296,73199,81619,62665,84615,92369,104191,68762,106190,68754,146457,113948,121161,94589,101178,101732,79844,77866,76541
Malaysia,Sabah,10,7372091,6769712,6755319,214875,63237,59849,33065,86787,72860,81291,62332,84118,91917,103946,68495,104791,65940,138744,107990,114247,89675,93925,92086,69690,67983,65668
Malaysia,Sabah,15,7372091,6742543,6722295,214875,63088,59749,33016,86707,72810,81251,62295,84074,91871,103915,68469,104689,65784,138314,107635,113838,89386,93580,91666,69277,67590,65244
Malaysia,Sabah,20,7372091,6721855,6708654,214875,62959,59651,32969,86619,72758,81200,62254,84022,91821,103885,68435,104594,65651,137967,107332,113460,89152,93296,91292,68884,67202,64812
Malaysia,Sabah,25,7372091,6710515,6690453,214875,62885,59593,32944,86580,72731,81182,62239,84008,91803,103872,68422,104545,65570,137756,107164,113249,89018,93137,91096,68705,67019,64627
Malaysia,Sabah,30,7372091,6684138,6667614,214875,62731,59490,32902,86514,72687,81146,62206,83970,91770,103840,68392,104438,65399,137274,106771,112763,88683,92683,90575,68260,66550,64183
Malaysia,Sabah,50,7372091,6585815,6540896,214875,61854,58885,32622,85976,72305,80807,61892,83656,91426,103552,68172,103855,64597,135314,105117,110718,87498,91385,88960,66797,65231,62770
Malaysia,Sabah,75,7372091,6165734,6208091,214875,58025,55703,31069,82448,69683,78189,59776,81163,88822,101221,66659,100815,60418,125336,96580,100180,80917,83116,78748,57860,56369,54065
Malaysia,Sarawak,0,12379545,12379545,12379545,302061,103529,74806,74492,110116,122738,114667,176108,163947,307413,137088,192068,271979,133502,238430,163521,189914,177587,162721,128771,82824,82202,87349
Malaysia,Sarawak,10,12379545,11727777,11403600,302061,101404,74269,74159,109409,122197,114322,175741,163619,306893,136712,191429,269177,129322,230384,157176,180276,166279,152891,119671,73452,73809,76558
Malaysia,Sarawak,15,12379545,11699536,11352588,302061,101091,74164,74076,109315,122127,114274,175689,163582,306829,136677,191375,268949,129131,229967,156845,179800,165765,152391,119265,73128,73465,76166
Malaysia,Sarawak,20,12379545,11680467,11331422,302061,100860,74079,74035,109242,122063,114223,175641,163543,306753,136645,191313,268752,128975,229632,156616,179450,165409,152053,118972,72815,73197,75840
Malaysia,Sarawak,25,12379545,11666586,11302209,302061,100676,74009,73994,109191,122023,114201,175615,163524,306720,136629,191283,268658,128871,229415,156450,179201,165157,151811,118769,72645,73032,75647
Malaysia,Sarawak,30,12379545,11643005,11270645,302061,100294,73917,73945,109132,121973,114173,175583,163495,306669,136601,191239,268503,128695,229051,156137,178750,164697,151383,118414,72370,72721,75323
Malaysia,Sarawak,50,12379545,11524585,11069143,302061,97594,73115,73384,108413,121350,113771,175117,163110,306006,136293,190778,267427,127659,226890,154499,176506,162481,149287,116805,70962,71356,73815
Malaysia,Sarawak,75,12379545,11067414,10588906,302061,89627,69381,70657,104539,117751,111152,171612,160347,300481,134216,188098,262259,122132,216985,147067,166524,152736,140396,109219,65040,65286,67408
Malaysia,Selangor,0,782443,782443,782443,39705,11353,7445,3809,8492,8229,4800,9599,6391,14357,9809,3732,7996,3815,15112,6748,11546,10755,10365,10210,5997,9569,4979
Malaysia,Selangor,10,782443,581303,545601,39705,11283,7379,3773,8397,8180,4777,9575,6374,14327,9759,3693,7819,3586,13780,6044,10483,9790,9228,8851,4879,7965,4062
Malaysia,Selangor,15,782443,575405,537255,39705,11269,7365,3766,8379,8170,4773,9569,6372,14323,9752,3691,7802,3576,13716,6005,10404,9722,9167,8775,4826,7870,4008
Malaysia,Selangor,20,782443,571761,534644,39705,11250,7354,3759,8361,8158,4769,9564,6368,14318,9747,3689,7783,3566,13659,5975,10348,9667,9123,8717,4783,7804,3953
Malaysia,Selangor,25,782443,568977,530200,39705,11239,7344,3754,8343,8151,4766,9561,6367,14315,9742,3688,7775,3560,13622,5952,10310,9634,9094,8676,4755,7759,3922
Malaysia,Selangor,30,782443,564558,526060,39705,11219,7333,3749,8332,8143,4763,9557,6366,14311,9737,3686,7759,3549,13558,5914,10238,9573,9036,8604,4700,7672,3866
Malaysia,Selangor,50,782443,543059,500951,39705,11053,7182,3667,8140,8015,4707,9478,6323,14229,9669,3666,7672,3487,13190,5715,9887,9235,8767,8258,4438,7256,3620
Malaysia,Selangor,75,782443,477581,440675,39705,10022,6298,3153,6995,7227,4299,8872,5968,13528,9171,3532,7223,3205,11733,4867,8319,7794,7489,6759,3400,5751,2697
Malaysia,Trengganu,0,1288895,1288895,1288895,29638,10223,10108,4407,15812,10085,10621,9445,11312,15475,17082,12300,17000,13660,17494,15506,21377,19637,17524,15558,10533,11800,12977
Malaysia,Trengganu,10,1288895,1123158,1092173,29638,10175,10086,4395,15783,10061,10604,9425,11287,15458,17064,12280,16925,13339,16505,14881,20044,18366,16626,14591,9371,10690,12137
Malaysia,Trengganu,15,1288895,1117368,1085746,29638,10166,10081,4393,15774,10055,10598,9421,11281,15453,17061,12276,16915,13320,16442,14837,19959,18290,16559,14529,9309,10619,12075
Malaysia,Trengganu,20,1288895,1113668,1081892,29638,10154,10074,4390,15764,10048,10594,9416,11276,15450,17058,12272,16907,13302,16394,14808,19899,18232,16511,14489,9262,10571,12032
Malaysia,Trengganu,25,1288895,1111102,1078290,29638,10148,10071,4388,15761,10046,10592,9414,11273,15449,17056,12271,16902,13292,16360,14788,19863,18196,16482,14462,9233,10541,12004
Malaysia,Trengganu,30,1288895,1106226,1073942,29638,10139,10066,4386,15756,10041,10589,9411,11269,15446,17054,12267,16893,13273,16299,14745,19783,18130,16415,14396,9177,10475,11949
Malaysia,Trengganu,50,1288895,1084795,1047974,29638,10051,10007,4365,15678,9982,10546,9368,11206,15397,17007,12234,16821,13147,15944,14524,19376,17796,16106,14106,8915,10173,11689
Malaysia,Trengganu,75,1288895,1007112,979724,29638,9544,9573,4218,15113,9499,10146,8956,10713,14956,16615,12018,16355,12353,14390,13296,17416,16142,14347,12416,7556,8489,10353
