iso,name,category,value
Australia,2017000,Planted Forest,2017000
Australia,5039000,Primary Forest,5039000
Australia,117695000,Naturally Regenerated Forest,117695000
Australia,124751000,fao_treecover__ha,124751000
Australia,774122.00,area_ha,774122.00
United States of America,26364000,Planted Forest,26364000
United States of America,75300000,Primary Forest,75300000
United States of America,208431000,Naturally Regenerated Forest,208431000
United States of America,310095000,fao_treecover__ha,310095000
United States of America,963203.00,area_ha,963203.00
Indonesia,4946000,Planted Forest,4946000
Indonesia,46024000,Primary Forest,46024000
Indonesia,40040000,Naturally Regenerated Forest,40040000
Indonesia,91010000,fao_treecover__ha,91010000
Indonesia,181157.00,area_ha,181157.00
Malaysia,1966000,Planted Forest,1966000
Malaysia,5041000,Primary Forest,5041000
Malaysia,15188000,Naturally Regenerated Forest,15188000
Malaysia,22195000,fao_treecover__ha,22195000
Malaysia,33080.00,area_ha,33080.00
Japan,10270000,Planted Forest,10270000
Japan,4905000,Primary Forest,4905000
Japan,9783000,Naturally Regenerated Forest,9783000
Japan,24958000,fao_treecover__ha,24958000
Japan,37795.00,area_ha,37795.00
Brunei Darussalam,2680,Planted Forest,2680
Brunei Darussalam,263000,Primary Forest,263000
Brunei Darussalam,114000,Naturally Regenerated Forest,114000
Brunei Darussalam,380000,fao_treecover__ha,380000
Brunei Darussalam,577,area_ha,577
Sweden,13737000,Planted Forest,13737000
Sweden,2417000,Primary Forest,2417000
Sweden,11919000,Naturally Regenerated Forest,11919000
Sweden,28073000,fao_treecover__ha,28073000
Sweden,45030.00,area_ha,45030.00
Norway,1529000,Planted Forest,1529000
Norway,160000,Primary Forest,160000
Norway,10423000,Naturally Regenerated Forest,10423000
Norway,12112000,fao_treecover__ha,12112000
Norway,32378.00,area_ha,32378.00
Finland,6775401,Planted Forest,6775401
Finland,230207,Primary Forest,230207
Finland,15212251,Naturally Regenerated Forest,15212251
Finland,22218000,fao_treecover__ha,22218000
Finland,33842.00,area_ha,33842.00
Slovenia,34000,Planted Forest,34000
Slovenia,49000,Primary Forest,49000
Slovenia,1165000,Naturally Regenerated Forest,1165000
Slovenia,1248000,fao_treecover__ha,1248000
Slovenia,2027.00,area_ha,2027.00
Saudi Arabia,0,Planted Forest,0
Saudi Arabia,360000,Primary Forest,360000
Saudi Arabia,617000,Naturally Regenerated Forest,617000
Saudi Arabia,977000,fao_treecover__ha,977000
Saudi Arabia,214969.00,area_ha,214969.00
Kuwait,6250,Planted Forest,6250
Kuwait,0,Primary Forest,0
Kuwait,0,Naturally Regenerated Forest,0
Kuwait,6250,fao_treecover__ha,6250
Kuwait,1782.00,area_ha,1782.00
Bahrain,604,Planted Forest,604
Bahrain,0,Primary Forest,0
Bahrain,0,Naturally Regenerated Forest,0
Bahrain,604,fao_treecover__ha,604
Bahrain,76,area_ha
