Country,Code,Year,Tree_density
Finland,FIN,2014,72643.508
Slovenia,SVN,2014,71131.48624
Sweden,SWE,2014,69161.14537
Taiwan,TWN,2014,62975.40764
Brunei,BRN,2014,62333.37385
Bolivia,BOL,2014,54409.96827
Japan,JPN,2014,49893.51488
Malaysia,MYS,2014,45591.03665
Norway,NOR,2014,43999.49056
Laos,LAO,2014,43179.38518
New Zealand,NZL,2014,42493.09378
Indonesia,IDN,2014,42404.80098
Bahrain,BHR,2014,4.544569434
Kuwait,KWT,2014,3.500288148
Saudi Arabia,SAU,2014,1.414488247
Qatar,QAT,2014,1.121359396
UAE,ARE,2014,0.248461446
Western Sahara,ESH,2014,0.069174774
